periodo,fecha_sbs,retroceso_dias,http,bytes,archivo,error
2024-08-31,2024-08-31,0,200,273495,sbs_2024_08_31.html,
2024-09-30,2024-09-30,0,200,273665,sbs_2024_09_30.html,
2024-10-31,2024-10-31,0,200,273508,sbs_2024_10_31.html,
2024-11-30,2024-11-29,1,200,273584,sbs_2024_11_29.html,
2024-12-31,2024-12-30,1,200,273618,sbs_2024_12_30.html,
2025-01-31,2025-01-31,0,200,277611,sbs_2025_01_31.html,
2025-02-28,2025-02-28,0,200,277694,sbs_2025_02_28.html,
2025-03-31,2025-03-31,0,200,277625,sbs_2025_03_31.html,
2025-04-30,2025-04-30,0,200,277586,sbs_2025_04_30.html,
2025-05-31,2025-05-30,1,200,277549,sbs_2025_05_30.html,
2025-06-30,2025-06-30,0,200,281870,sbs_2025_06_30.html,
2025-07-31,2025-07-31,0,200,281845,sbs_2025_07_31.html,
2025-08-31,2025-08-29,2,200,281912,sbs_2025_08_29.html,
2025-09-30,2025-09-30,0,200,282000,sbs_2025_09_30.html,
2025-10-31,2025-10-31,0,200,281906,sbs_2025_10_31.html,
2025-11-30,2025-11-28,2,200,282033,sbs_2025_11_28.html,
2025-12-31,2025-12-31,0,200,282028,sbs_2025_12_31.html,
2026-01-31,2026-01-30,1,200,281939,sbs_2026_01_30.html,
2026-02-28,2026-02-27,1,200,281966,sbs_2026_02_27.html,
2026-03-31,2026-03-31,0,200,281930,sbs_2026_03_31.html,
2026-04-30,2026-04-30,0,200,281873,sbs_2026_04_30.html,
2026-05-31,2026-05-29,2,200,281837,sbs_2026_05_29.html,
2026-06-30,2026-06-30,0,200,286006,sbs_2026_06_30.html,
2026-07-31,2026-07-31,0,200,285989,sbs_2026_07_31.html,
2026-08-31,2026-08-31,0,200,286131,sbs_2026_08_31.html,
